AC Number,Booth Number 2014,SAD-BJP,AAP,INC,BSP,Others,Total Valid Vote
89,119,32.22,21.57,40.21,2.53,3.46,751
89,120,45.08,21.21,30.01,1.04,2.67,863
89,121,23.92,58.45,15.11,1.08,1.44,556
89,122,14.08,52.58,27.45,1.6,4.28,561
89,123,21.72,38.01,30.32,6.49,3.47,663
89,124,35.3,29.22,28.38,1.01,6.08,592
89,125,32.29,38.17,26.61,0,2.94,545
89,126,31.81,38.17,26.04,0.2,3.78,503
89,127,28.47,55.26,12.32,1.2,2.75,836
89,128,45.35,29.1,22.75,0,2.81,677
89,129,21.33,58.22,18.57,0,1.88,797
89,130,24.36,54.55,16.85,0.61,3.64,825
89,131,30.49,44.51,22.94,0.14,1.92,728
89,132,34.28,55.08,4.49,0.71,5.44,423
89,133,22.22,48.26,23.44,0.17,5.9,576
89,134,20.67,66.39,10.59,0.34,2.02,595
89,135,17.85,54.21,18.68,6.28,2.98,605
89,136,20.22,60.66,17.38,0.47,1.26,633
89,137,17.56,51.08,23.66,2.69,5.02,558
89,138,23.09,52.13,21.75,1.12,1.91,892
89,139,32.54,51.4,12.57,0.42,3.07,716
89,140,36.18,41.53,12.74,0.29,9.26,691
89,141,34.34,43.98,18.31,0.6,2.77,830
89,142,48.07,38.52,10.67,0,2.74,984
89,143,40.6,43.72,12.46,0.21,3.01,963
89,144,27.99,46.3,21.67,0.27,3.77,743
89,145,33,47.79,18.46,0.13,0.63,791
89,146,35.33,39.82,20.48,1.04,3.34,869
89,147,33.07,46.44,17.37,0.56,2.56,898
89,148,24.36,30.36,41.33,0.13,3.83,784
89,149,29.03,34.16,33.28,0,3.52,682
89,150,26.77,31.97,36.06,0.63,4.57,635
89,151,33.02,48.13,15.58,0.93,2.34,642
89,152,31.04,56.97,10.76,0,1.23,567
